api_id,method,endpoint,module,basis,source,status,workbook,success_code,read_tables,mutated_tables,request_fields,response_fields,error_cases,rendered_sheets,size_bytes
031,POST,/api/v1/learning-paths/{path_id}/activate,04. Lộ trình học,TRỰC TIẾP,SEQ-05,Draft,PLAN_05_Learning_Paths_and_Support_Requests/API_031_POST_learning_paths_by_path_id_activate.xlsx,LEARNING_PATH_ACTIVATED,learning_paths|learning_path_courses|learning_path_enrollments,learning_path_enrollments|course_enrollments|audit_logs,6,6,11,10,65535
032,GET,/api/v1/me/learning-paths/active,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_032_GET_me_learning_paths_active.xlsx,ME_LEARNING_PATHS_ACTIVE_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,2,7,7,7,48022
033,GET,/api/v1/me/learning-paths/history,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_033_GET_me_learning_paths_history.xlsx,ME_LEARNING_PATHS_HISTORY_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,5,7,8,7,48660
034,GET,/api/v1/me/learning-paths/{enrollment_id}/summary,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_034_GET_me_learning_paths_by_enrollment_id_summary.xlsx,ME_LEARNING_PATHS_ENROLLMENT_ID_SUMMARY_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,3,7,9,7,48541
035,GET,/api/v1/me/learning-paths/next-recommendations,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_035_GET_me_learning_paths_next_recommendations.xlsx,ME_LEARNING_PATHS_NEXT_RECOMMENDATIONS_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,2,5,7,7,48118
036,POST,/api/v1/support-requests,04. Lộ trình học,TRỰC TIẾP,SEQ-12,Draft,PLAN_05_Learning_Paths_and_Support_Requests/API_036_POST_support_requests.xlsx,SUPPORT_REQUEST_CREATED,support_requests,support_requests,8,4,10,8,55024
037,GET,/api/v1/support-requests,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_037_GET_support_requests.xlsx,SUPPORT_REQUESTS_RETRIEVED,support_requests,,5,7,8,7,48531
038,GET,/api/v1/support-requests/{request_id},04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_038_GET_support_requests_by_request_id.xlsx,SUPPORT_REQUESTS_RETRIEVED,support_requests,,3,5,9,7,48281
039,GET,/api/v1/courses/{course_id},"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_039_GET_courses_by_course_id.xlsx,COURSES_RETRIEVED,courses|course_enrollments,,3,11,9,7,48614
040,GET,/api/v1/courses/{course_id}/curriculum,"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_040_GET_courses_by_course_id_curriculum.xlsx,COURSES_CURRICULUM_RETRIEVED,courses|course_enrollments,,3,2,9,7,48269
041,GET,/api/v1/chapters/{chapter_id},"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_041_GET_chapters_by_chapter_id.xlsx,CHAPTERS_RETRIEVED,chapters,,3,6,9,7,48229
042,GET,/api/v1/lessons/{lesson_id}/study,"05. Khóa học, chương, bài học và tài nguyên",TRỰC TIẾP,SEQ-06,Draft,PLAN_06_Courses_Chapters_Lessons_Resources/API_042_GET_lessons_by_lesson_id_study.xlsx,LESSON_STUDY_LOADED,lessons|lesson_progress,,3,13,9,7,48782
043,GET,/api/v1/courses/{course_id}/continue,"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_043_GET_courses_by_course_id_continue.xlsx,COURSES_CONTINUE_RETRIEVED,courses|course_enrollments,,3,6,9,7,48341
044,GET,/api/v1/lessons/{lesson_id}/resources,"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_044_GET_lessons_by_lesson_id_resources.xlsx,LESSONS_RESOURCES_RETRIEVED,lessons|lesson_progress|course_materials,,3,8,9,7,48596
045,GET,/api/v1/resources/{resource_id}/access,"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_045_GET_resources_by_resource_id_access.xlsx,RESOURCES_ACCESS_RETRIEVED,course_materials,,3,6,9,7,48378
046,POST,/api/v1/content-issues,"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_046_POST_content_issues.xlsx,CONTENT_ISSUES_CREATED,content_issues,content_issues,8,3,10,8,54917
047,GET,/api/v1/me/content-issues,"05. Khóa học, chương, bài học và tài nguyên",SUY DẪN,BD-05,Draft — Needs Confirmation,PLAN_06_Courses_Chapters_Lessons_Resources/API_047_GET_me_content_issues.xlsx,ME_CONTENT_ISSUES_RETRIEVED,content_issues,,5,7,8,7,48555
048,GET,/api/v1/exercises,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_048_GET_exercises.xlsx,EXERCISES_RETRIEVED,exercises|exercise_submissions,,10,8,8,7,48966
049,GET,/api/v1/exercises/{assignment_id},06. Bài tập và đánh giá,TRỰC TIẾP,SEQ-07,Draft,PLAN_07_Learner_Exercises_Submissions/API_049_GET_exercises_by_assignment_id.xlsx,EXERCISES_RETRIEVED,exercises|exercise_submissions,,3,10,9,7,48594
050,GET,/api/v1/exercises/{assignment_id}/draft,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_050_GET_exercises_by_assignment_id_draft.xlsx,EXERCISES_DRAFT_RETRIEVED,exercises|exercise_submissions,,3,7,9,7,48401
051,PUT,/api/v1/exercises/{assignment_id}/draft,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_051_PUT_exercises_by_assignment_id_draft.xlsx,EXERCISES_DRAFT_UPDATED,exercises|exercise_submissions,exercise_submission_drafts,9,4,11,8,55390
052,POST,/api/v1/exercises/{assignment_id}/submissions,06. Bài tập và đánh giá,TRỰC TIẾP,SEQ-07,Draft,PLAN_07_Learner_Exercises_Submissions/API_052_POST_exercises_by_assignment_id_submissions.xlsx,EXERCISE_SUBMISSION_CREATED,exercises|exercise_submissions|exercise_reviews,exercise_submissions,10,6,11,8,55675
053,GET,/api/v1/exercises/{assignment_id}/submissions/latest,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_053_GET_exercises_by_assignment_id_submissions_latest.xlsx,EXERCISES_SUBMISSIONS_LATEST_RETRIEVED,exercises|exercise_submissions|exercise_reviews,,3,10,9,7,48629
054,GET,/api/v1/exercises/{assignment_id}/submissions,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_054_GET_exercises_by_assignment_id_submissions.xlsx,EXERCISES_SUBMISSIONS_RETRIEVED,exercises|exercise_submissions|exercise_reviews,,5,7,9,7,48789
055,GET,/api/v1/submissions/{submission_id},06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_055_GET_submissions_by_submission_id.xlsx,SUBMISSIONS_RETRIEVED,exercise_submissions|exercise_reviews,,3,7,9,7,48400
056,POST,/api/v1/exercises/{assignment_id}/resubmissions,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_07_Learner_Exercises_Submissions/API_056_POST_exercises_by_assignment_id_resubmissions.xlsx,EXERCISES_RESUBMISSIONS_CREATED,exercises|exercise_submissions,exercise_submissions,10,5,11,8,55368
057,GET,/api/v1/admin/exercise-submissions,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_08_Admin_Exercise_Review/API_057_GET_admin_exercise_submissions.xlsx,ADMIN_EXERCISE_SUBMISSIONS_RETRIEVED,users,,10,4,8,7,48675
058,GET,/api/v1/admin/exercise-submissions/{submission_id},06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_08_Admin_Exercise_Review/API_058_GET_admin_exercise_submissions_by_submission_id.xlsx,ADMIN_EXERCISE_SUBMISSIONS_RETRIEVED,exercise_submissions|exercise_reviews,,3,7,9,7,48386
059,PATCH,/api/v1/admin/exercise-submissions/{submission_id}/review,06. Bài tập và đánh giá,TRỰC TIẾP,SEQ-07,Draft,PLAN_08_Admin_Exercise_Review/API_059_PATCH_admin_exercise_submissions_by_submission_id_review.xlsx,EXERCISE_SUBMISSION_REVIEWED,exercise_submissions|exercise_reviews,exercise_reviews|exercise_submissions|lesson_progress|outbox_events,10,7,12,11,71819
060,POST,/api/v1/admin/exercise-submissions/{submission_id}/reopen,06. Bài tập và đánh giá,SUY DẪN,BD-06,Draft — Needs Confirmation,PLAN_08_Admin_Exercise_Review/API_060_POST_admin_exercise_submissions_by_submission_id_reopen.xlsx,ADMIN_EXERCISE_SUBMISSIONS_REOPEN_COMPLETED,exercise_submissions|exercise_reviews,exercise_submissions|audit_logs|outbox_events,6,5,12,10,65944
061,GET,/api/v1/me/dashboard,07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_061_GET_me_dashboard.xlsx,ME_DASHBOARD_RETRIEVED,lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,,2,9,7,7,48183
062,GET,/api/v1/me/continue-learning,07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_062_GET_me_continue_learning.xlsx,ME_CONTINUE_LEARNING_RETRIEVED,lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,,2,7,7,7,48125
063,GET,/api/v1/me/progress/learning-paths/{path_id},07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_063_GET_me_progress_learning_paths_by_path_id.xlsx,ME_PROGRESS_LEARNING_PATHS_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments|lesson_progress|course_enrollments|completion_rules,,3,7,9,7,48623
064,GET,/api/v1/me/progress/courses/{course_id},07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_064_GET_me_progress_courses_by_course_id.xlsx,ME_PROGRESS_COURSES_RETRIEVED,courses|course_enrollments|lesson_progress|learning_path_enrollments|completion_rules,,3,7,9,7,48623
065,GET,/api/v1/me/progress/chapters/{chapter_id},07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_065_GET_me_progress_chapters_by_chapter_id.xlsx,ME_PROGRESS_CHAPTERS_RETRIEVED,chapters|lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,,3,6,9,7,48465
066,GET,/api/v1/me/progress/lessons/{lesson_id},07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_066_GET_me_progress_lessons_by_lesson_id.xlsx,ME_PROGRESS_LESSONS_RETRIEVED,lessons|lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,,3,9,9,7,48640
067,PATCH,/api/v1/lessons/{lesson_id}/progress,07. Tiến độ và hoàn thành,TRỰC TIẾP,SEQ-06,Draft,PLAN_09_Progress_Completion/API_067_PATCH_lessons_by_lesson_id_progress.xlsx,LESSON_PROGRESS_UPDATED,lessons|lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,lesson_progress|course_enrollments|learning_path_enrollments,11,7,11,10,67212
068,GET,/api/v1/me/learning-history,07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_068_GET_me_learning_history.xlsx,ME_LEARNING_HISTORY_RETRIEVED,lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,,7,5,8,7,48768
069,GET,/api/v1/me/completion-summaries/{entity_type}/{entity_id},07. Tiến độ và hoàn thành,SUY DẪN,BD-07,Draft — Needs Confirmation,PLAN_09_Progress_Completion/API_069_GET_me_completion_summaries_by_entity_type_by_entity_id.xlsx,ME_COMPLETION_SUMMARIES_ENTITY_TYPE_RETRIEVED,lesson_progress|course_enrollments|learning_path_enrollments|completion_rules,,4,6,9,7,48654
070,GET,/api/v1/community-groups,08. Cộng đồng Zalo,TRỰC TIẾP,SEQ-09,Draft,PLAN_10_Learner_Community/API_070_GET_community_groups.xlsx,COMMUNITY_GROUPS_RETRIEVED,community_groups|community_group_scopes|community_join_events,,7,8,7,7,48629
071,GET,/api/v1/community-groups/{group_id},08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_10_Learner_Community/API_071_GET_community_groups_by_group_id.xlsx,COMMUNITY_GROUPS_RETRIEVED,community_groups|community_group_scopes|community_join_events,,3,5,9,7,48307
072,POST,/api/v1/community-groups/{group_id}/open-link,08. Cộng đồng Zalo,TRỰC TIẾP,SEQ-09,Draft,PLAN_10_Learner_Community/API_072_POST_community_groups_by_group_id_open_link.xlsx,COMMUNITY_LINK_OPENED,community_groups|community_group_scopes|community_join_events,community_join_events|audit_logs,6,4,11,9,60386
073,POST,/api/v1/community-groups/{group_id}/reports,08. Cộng đồng Zalo,TRỰC TIẾP,SEQ-09,Draft,PLAN_10_Learner_Community/API_073_POST_community_groups_by_group_id_reports.xlsx,COMMUNITY_REPORT_CREATED,community_groups|community_group_scopes|community_join_events,community_reports|audit_logs,7,3,11,9,60530
074,GET,/api/v1/me/community-reports,08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_10_Learner_Community/API_074_GET_me_community_reports.xlsx,ME_COMMUNITY_REPORTS_RETRIEVED,community_reports,,5,7,8,7,48496
075,GET,/api/v1/admin/community-groups,08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_075_GET_admin_community_groups.xlsx,ADMIN_COMMUNITY_GROUPS_RETRIEVED,community_groups|community_group_scopes|community_join_events,,8,1,8,7,48388
076,POST,/api/v1/admin/community-groups,08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_076_POST_admin_community_groups.xlsx,ADMIN_COMMUNITY_GROUPS_CREATED,community_groups|community_group_scopes|community_join_events,community_groups|audit_logs,12,2,10,9,60375
077,GET,/api/v1/admin/community-groups/{group_id},08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_077_GET_admin_community_groups_by_group_id.xlsx,ADMIN_COMMUNITY_GROUPS_RETRIEVED,community_groups|community_group_scopes|community_join_events,,3,5,9,7,48304
078,PATCH,/api/v1/admin/community-groups/{group_id},08. Cộng đồng Zalo,TRỰC TIẾP,SEQ-09,Draft,PLAN_11_Admin_Community/API_078_PATCH_admin_community_groups_by_group_id.xlsx,ADMIN_COMMUNITY_GROUPS_UPDATED,community_groups|community_group_scopes|community_join_events,community_groups|audit_logs,6,3,11,9,60556
079,PUT,/api/v1/admin/community-groups/{group_id}/status,08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_079_PUT_admin_community_groups_by_group_id_status.xlsx,ADMIN_COMMUNITY_GROUPS_STATUS_UPDATED,community_groups|community_group_scopes|community_join_events,community_groups|audit_logs|outbox_events,6,5,12,10,65966
080,PUT,/api/v1/admin/community-groups/{group_id}/moderators,08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_080_PUT_admin_community_groups_by_group_id_moderators.xlsx,ADMIN_COMMUNITY_GROUPS_MODERATORS_UPDATED,community_groups|community_group_scopes|community_join_events,community_groups|audit_logs,6,3,11,9,60372
081,GET,/api/v1/admin/community-reports,08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_081_GET_admin_community_reports.xlsx,ADMIN_COMMUNITY_REPORTS_RETRIEVED,community_reports,,7,1,8,7,48274
082,PATCH,/api/v1/admin/community-reports/{report_id},08. Cộng đồng Zalo,SUY DẪN,BD-08,Draft — Needs Confirmation,PLAN_11_Admin_Community/API_082_PATCH_admin_community_reports_by_report_id.xlsx,ADMIN_COMMUNITY_REPORTS_UPDATED,community_reports,community_reports|audit_logs,7,5,11,9,60576
083,GET,/api/v1/notifications,09. Thông báo,TRỰC TIẾP,SEQ-10,Draft,PLAN_12_Notifications/API_083_GET_notifications.xlsx,NOTIFICATIONS_LISTED,notifications,,7,8,8,7,48606
084,GET,/api/v1/notifications/unread-count,09. Thông báo,SUY DẪN,BD-09,Draft — Needs Confirmation,PLAN_12_Notifications/API_084_GET_notifications_unread_count.xlsx,NOTIFICATIONS_UNREAD_COUNT_RETRIEVED,notifications,,2,2,7,7,47548
085,PATCH,/api/v1/notifications/{notification_id}/read,09. Thông báo,TRỰC TIẾP,SEQ-10,Draft,PLAN_12_Notifications/API_085_PATCH_notifications_by_notification_id_read.xlsx,NOTIFICATIONS_READ_UPDATED,notifications,notifications,4,3,11,8,54495
086,POST,/api/v1/notifications/read-all,09. Thông báo,SUY DẪN,BD-09,Draft — Needs Confirmation,PLAN_12_Notifications/API_086_POST_notifications_read_all.xlsx,NOTIFICATIONS_READ_ALL_COMPLETED,notifications,notifications,4,2,9,8,54266
087,DELETE,/api/v1/notifications/{notification_id},09. Thông báo,SUY DẪN,BD-09,Draft — Needs Confirmation,PLAN_12_Notifications/API_087_DELETE_notifications_by_notification_id.xlsx,NOTIFICATIONS_DELETED,notifications,notifications,4,2,11,8,54462
088,GET,/api/v1/notification-settings/me,09. Thông báo,SUY DẪN,BD-09,Draft — Needs Confirmation,PLAN_12_Notifications/API_088_GET_notification_settings_me.xlsx,NOTIFICATION_SETTINGS_ME_RETRIEVED,notification_settings,,2,3,7,7,47723
